7158;Guido Wirtz;;;;;;;;;;https://d-nb.info/953295192;;;978-3-8265-3666-3;;phd/dnb/Wirtz98;2021-07-17;;;;1-175;Shaker;;;University of Siegen, Germany;;;;;Meander: ein graph-basierter Ansatz zur Unterstützung der Konstruktion explizit paralleler Programme für Parallelrechner mit verteiltem Speicher.;;;1998
7305;Franziska Klügl;;;;;;;;;;https://d-nb.info/96173972X;;;978-3-8273-1790-2;;phd/dnb/Klugl01;2021-07-17;;;;1-234;Addison-Wesley;;;;;;;;Multiagentensimulation: Konzepte, Werkzeuge, Anwendungen.;;;2001
7773;Thomas Pötsch;;;;;;;;;;https://d-nb.info/1103689096;;;978-3-658-14814-0;;phd/dnb/Potsch16a;2021-07-17;;;;1-195;Springer Vieweg;;;;;;;;Future mobile transport protocols: adaptive congestion control for unpredictable cellular networks.;;;2016
7824;Dietrich Kuske;;;;;;;;;;https://d-nb.info/961225726;;;;;phd/dnb/Kuske00;2021-07-17;;;;1-181;;;habil;Dresden University of Technology, Germany;;;;;Contributions to a trace theory beyond Mazurkiewicz traces.;;;2000
8035;Hagen Reuter;;;;;;;;;;https://d-nb.info/944884962;;;978-3-18-347108-9;;phd/dnb/Reuter95;2021-07-17;;;;1-110;VDI-Verlag;;;;;;;;Zur Identifikation nichtlinearer Systemmodelle mit wenig A-priori-Informationen.;;;1995
8810;Claudia Helena Breitfuss-Horner|Fritz Schweiger|Ingo Engert-Oostingh;;;;;;;;;;https://d-nb.info/1096344599;;;978-3-8440-4276-4;;phd/dnb/Engert-OostinghBS16;2021-07-17;;;;1-152;Shaker Verlag;;;University of Salzburg, Austria;;;;;Fachdidaktische Studien II.;;;2016
9194;Christoph Knieke;;;;;;;;;;http://www.dr.hut-verlag.de/978-3-8439-4205-8.html|https://d-nb.info/1198542608|https://nbn-resolving.org/urn:nbn:de:101:1-2019110122350057754631;;;;;phd/dnb/Knieke19;2021-07-17;;;;;Verlag Dr. Hut;;habil;Clausthal University of Technology, Clausthal-Zellerfeld, Germany;;;;;Managed Evolution of Automotive Software Product Line Architectures.;;;2019
9209;Ulrike Reiner;;;;;;;;;;https://d-nb.info/920167926;;;978-3-925474-11-8;;phd/dnb/Reiner91;2021-07-17;;;;1-237;;;;Technical University of Berlin, Germany;;;;;Anfragesprachen für Informationssysteme.;;;1991
9489;Markus Lohrey;;;;;;;;;;https://d-nb.info/968928331;;;;;phd/dnb/Lohrey03;2021-07-17;;;;1-13;;;habil;University of Stuttgart, Germany;;;;;Computational and logical aspects of infinite monoids.;;;2003
9533;Karin Dollhausen;;;;;;;;;;https://d-nb.info/949388432;;;3-8255-0111-6;;phd/dnb/Dollhausen97;2021-07-17;;;;1-152;Centaurus-Verlag-Ges.;;;RWTH Aachen, Germany;;;;;Technik - Konstruktionen: neue Technologien als soziologisches Theorieproblem.;;;1997
10145;Eva Köhl;;;;;;;;;;https://d-nb.info/944058914;;;978-3-86073-243-4;;phd/dnb/Kohl94;2021-07-17;;;;1-144;Verlag der Augustinus-Buchhandlung;;;RWTH Aachen University, Germany;;;;;Dezentralisierung betrieblicher EDV-Systeme.;;;1994
10156;Martin Käppner;;;;;;;;;;https://d-nb.info/943235391;;;978-3-929443-24-0;;phd/dnb/Kappner95;2021-07-17;;;;1-138;Verlag Praxiswissen;;;;;;;;Computergestützte Steuerungs- und Positionierverfahren für Elektrohängebahnsysteme.;;;1995
10587;Günter Wohlers;;;;;;;;;;https://d-nb.info/950243531;;;3-8265-2389-X;;phd/dnb/Wohlers97a;2021-07-17;;;;1-213;Shaker;;;;;;;;Schuldnerberatung im Wandel: von der traditionellen Sozialarbeit zur computergestützten Dienstleistung.;;;1997
10709;Frank Ohlhaver;;;;;;;;;;https://d-nb.info/945700849;;;3-631-49726-1;;phd/dnb/Ohlhaver96;2021-07-17;;;;1-288;Lang;;;;;;;;Zur Etablierung der privaten Computerhandhabung: eine Grundlagenstudie am Fall der Computerbenutzung Jugendlicher.;;;1996
11027;Rolf-Jürgen Schlenkrich;;;;;;;;;;https://d-nb.info/943977541;;;978-3-8265-5110-9;;phd/dnb/Schlenkrich95;2021-07-17;;;;;Shaker;;;;;;;;Leitfaden zum Aufbau einer Fertigungsdatenbank für Maschinenbauunternehmen.;;;1995
11067;Torbjørn Nordgård;;;;;;;;;;https://d-nb.info/930298241;;;978-3-906750-65-1;;phd/dnb/Nordgard93;2021-07-17;;;;1-331;Lang;;;;;;;;A GB related parser for Norwegian.;;;1993
11136;Eberhard Kurz;;;;;;;;;;https://d-nb.info/948153075;;;3-540-61426-5;;phd/dnb/Kurz96;2021-07-17;;;;1-129;Springer;;;University of Stuttgart;;;;;Projektierungsverfahren für technische Software dargestellt an wissensbasierten Systemen.;;;1996
11591;Wolfgang Roßmann;;;;;;;;;;https://d-nb.info/881459763;;;978-3-540-50655-3;;phd/dnb/Rossmann89;2021-07-17;;;;1-134;Springer;;;;;;;;Rechnergestützter Layoutentwurf von Hybridschaltungen: Widerstandsberechnung, Entwurfsschritte, Layoutüberprüfung.;;;1989
11657;Michael Banf;;;;;;;;;;https://d-nb.info/1044175249|https://d-nb.info/1050355423|https://nbn-resolving.org/urn:nbn:de:101:1-20140428791;;;978-3-8440-2399-2;;phd/dnb/Banf13a;2021-07-17;;;;1-286;Shaker;;;;;;;;Making the Visual World Audible - Auditory Image Understanding for the Visually Impaired Based on a Modular Computer Vision Sonification Model.;;;2013
12072;Johannes Hund;;;;;;;;;;https://d-nb.info/1027141455|https://nbn-resolving.org/urn:nbn:de:101:1-20121024511|https://www.svh-verlag.de;;;;;phd/dnb/Hund12;2021-07-17;;;;;Südwestdeutscher Verlag für Hochschulschriften;;;;;;;;Drahtlose industrielle Automatiserung durch Ultrawideband-Impulsfunk: Ein robustes drahtloses Kommunikationssystem für die industrielle Automatisierung unter harten Echtzeitbedingungen.;;;2012
12603;Andreas Niekler;;;;;;;;;;https://d-nb.info/1124697330;;;978-3-86962-261-3;;phd/dnb/Niekler18;2021-07-17;;;;1-258;Herbert von Halem Verlag;;;;;;;;Automatisierte Verfahren für die Themenanalyse nachrichtenorientierter Textquellen.;;;2018
12775;Harald B. Karcher;;;;;;;;;;https://d-nb.info/861004981;;;978-3-9800746-8-1;;phd/dnb/Karcher85;2021-07-17;;;;1-422;Fachverlag für Büro- u. Organisationstechnik;;;Ludwig Maximilian University of Munich, Germany;;;;;Büro der Zukunft: Mikrocomputer u. Telekommunikation: e. Gesamtschau zu Technik, Organisation u. Marketing.;;;1985
12924;Peter Weber;;;;;;;;;;https://d-nb.info/911388761;;;978-3-18-146010-8;;phd/dnb/Weber91e;2021-07-17;;;;1-153;VDI-Verlag;;;University of Duisburg-Essen, Germany;;;;;Konzipierung von Hardware-Software-Funktionen für Kommunikationsgeräte mit Mikroprozessoren.;;;1991
13517;Leo Pfefferer;;;;;;;;;;https://d-nb.info/1196226806;;;978-3-8316-8391-8;;phd/dnb/Pfefferer19;2021-07-17;;;;1-190;utzverlag GmbH;;;Technical University of Munich, Germany;;;;;Objektzentrierte Visualisierung mehrdimensionaler Daten als Erweiterung konventioneller Datenbankmodelle, 2., unveränderte Auflage.;;;2019
14036;Julia Sarah Hagel;;;;;;;;;;https://d-nb.info/1224967801|https://nbn-resolving.org/urn:nbn:de:bvb:824-opus4-6288|https://opus4.kobv.de/opus4-ku-eichstaett/frontdoor/index/index/docId/628;;;;;phd/dnb/Hagel21;2021-07-17;;;;;;;;Catholic University of Eichstätt-Ingolstadt, Germany;;;;;Digital assistants in E-Services: Kurzzusammenfassung in deutscher Sprache zur kumulativen Dissertation.;;;2021
14204;Wolfgang Lehner;;;;;;;;;;https://d-nb.info/958035903;;;978-3-519-00310-6;;phd/dnb/Lehner99;2021-07-17;;;;1-290;Teubner;;;;;;;;Multidimensionale Datenbanksysteme: Modellierung und Verarbeitung.;;;1999
14514;Sandra Schulz;;;;;;;;;;https://d-nb.info/1198243554;;;978-3-8325-5007-3;;phd/dnb/Schulz19;2021-07-17;;;;1-257;Logos Verlag;;;;;;;;Physical Computing als Mittel der wissenschaftlichen Erkenntnisgewinnung in der Informatik und als fächerverbindende MINT-Arbeitsweise.;;;2019
14777;Peter Raith;;;;;;;;;;https://d-nb.info/943683882;;;978-3-540-58223-6;;phd/dnb/Raith95;2021-07-17;;;;1-126;Springer;;;;;;;;Programmierung und Simulation von Zellenabläufen in der Arbeitsvorbereitung.;;;1995
14817;Mario Kubek;;;;;;;;;;https://d-nb.info/1065399049;;;978-3-18-383910-0;;phd/dnb/Kubek14;2021-07-17;;;;1-107;VDI-Verlag;;;University of Hagen, Germany;Fortschritt-Berichte VDI Reihe 10;;;;Interaktive Anwendungen kontextbasierter Suchverfahren.;;839;2014
15376;Frank Victor;;;;;;;;;;https://d-nb.info/920293549;;;978-3-486-22224-1;;phd/dnb/Victor92;2021-07-17;;;;1-194;Oldenbourg;;;;;;;;Wissensbasierte Pr-T-Netze zur Planungsunterstützung in offenen Systemen.;;;1992
15462;Maria Semenyak;;;;;;;;;;https://d-nb.info/1023542331;;;978-3-86991-589-0;;phd/dnb/Semenyak12;2021-07-17;;;;1-209;Monsenstein und Vannerdat;;;University of Paderborn;;;;;Full semantics preservation in model transformation.;;;2012
15821;Klaus Möller;;;;;;;;;;https://d-nb.info/871285371;;;;;phd/dnb/Moller87;2021-07-17;;;;1-22;ifv, Kalsruhe, Germany;;;Karlsruhe Institute of Technology, Germany;;;;;Signalgruppenorientiertes Modell zur Optimierung von Festzeitprogrammen an Einzelknotenpunkten.;;;1987
16361;Helmut Hansmaier;;;;;;;;;;https://d-nb.info/930581113;;;978-3-540-56043-2;;phd/dnb/Hansmaier93;2021-07-17;;;;1-144;Springer;;;;;;;;Rechnergestützte Verfahren zur Geräuschminderung.;;;1993
16872;Thomas Stahs;;;;;;;;;;https://d-nb.info/946948011;;;3-8265-1317-7;;phd/dnb/Stahs96;2021-07-17;;;;1-359;Shaker;;;;;;;;Objekterkennung mit einem aktiven 3D-Robotersensorsystem.;;;1996
16980;Ralf Müller;;;;;;;;;;https://d-nb.info/95369920X;;;978-3-8260-1542-7;;phd/dnb/Muller99h;2021-07-17;;;;1-278;Königshausen und Neumann;;;University of Mainz, Germany;;;;;Die dynamische Logik des Erkennens von Charles S. Peirce.;;;1999
17006;Michael Koch 0001;;;;;;;;;;https://d-nb.info/95011958X;;;3-8244-2083-X;;phd/dnb/Koch97c;2021-07-17;;;;1-214;DUV;;;Technical University Munich;;;;;Kooperation bei der Dokumentenbearbeitung: Entwicklung einer Gruppeneditorumgebung für das Internet.;;;1997
